并→不	3.23057
因此→而	2.78601
其中→的	2.73431
讯→新华社	2.40039
并→没有	2.27315
新华社→通讯员	2.20598
国→内	2.19914
所以→能	2.15281
这→一	2.03779
目前→的	1.9554
宏伟→的	1.87532
讯→中央	1.81416
不过→是	1.79006
另外→一	1.73717
并→未	1.68958
万→余	1.67762
同时→进行	1.6641
本报→的	1.65117
接着→说	1.64388
所以→能够	1.63811
同时→举行	1.63564
满族→自治县	1.63171
系列→产品	1.62193
他→的	1.61676
其实→是	1.58543
另外→的	1.56942
近年来→在	1.53977
讯→记者	1.53423
积极性→的	1.52789
为此→而	1.51776
面对→的	1.51391
二→次	1.50892
近年来→的	1.48226
重要性→的	1.46995
他们→的	1.45069
政治局→会议	1.39499
事实上→的	1.38755
图片→和	1.38749
同时→指出	1.35781
另外→两	1.35516
两会→的	1.34584
随着→时代	1.33284
二→人	1.32896
常委会→工作	1.30354
开放→市场	1.29575
常委会→会议	1.29291
七五→折	1.26933
那么→大	1.2686
明天→的	1.26271
然而→又	1.25882
当然→是	1.25717
世界大战→的	1.25678
本报→新闻	1.23088
伟大→的	1.19791
人大→主任	1.15921
预计→将	1.15896
另外→一些	1.15492
女→青年	1.15016
该书→的	1.14701
万→里	1.14586
本报→和	1.14249
1998年→中报	1.13626
后来→的	1.12207
种→产品	1.1197
治国→方略	1.11863
五个一工程→奖	1.10865
记协→工作	1.10282
行政区→和	1.0918
不过→的	1.08715
李瑞环→访问	1.08248
女→作家	1.07625
今→起	1.07057
本报→网络版	1.05477
女→职工	1.05427
江泽民→主席	1.05309
当前→的	1.04243
人大→工作	1.03608
预计→的	1.0327
这→类	1.03155
讯→今天	1.02577
今天→在	1.0255
据→此	1.02295
因此→受到	1.01518
温暖→的	1.00912
所谓→的	0.997692
即→可	0.992771
但→未	0.991683
京→九	0.990643
内在→的	0.977958
因此→被	0.977421
心灵→的	0.946868
8日→在	0.94559
科教兴国→的	0.940443
那么→多	0.922753
25日→在	0.920721
众所周知→的	0.917941
从而→获得	0.895071
这里→的	0.887517
自尊→的	0.885639
而且→应该	0.879207
另外→一个	0.873963
另外→3	0.873614
另外→三	0.869204
而→又	0.868057
关键→的	0.862551
女→羽绒服	0.855664
欧→亚	0.843494
为此→作出	0.837289
图片→展览	0.836403
其实→就	0.830593
钱其琛→副	0.828551
如今→成	0.827995
政治局→常委会	0.824876
尽管→还	0.823017
1→个	0.820782
讯→据	0.817912
